typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerISO,partnerDesc,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,customsCode,customsDesc,motDesc,qty,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,7,Vegetables and certain roots and tubers; edible,2,C00,TOTAL CPC,TOTAL MOT,,,,,8768945057,,8768945057,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2,C00,TOTAL CPC,TOTAL MOT,,,,,1912913068,,1912913068,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,5,Animal originated products; not elsewhere specified or included,2,C00,TOTAL CPC,TOTAL MOT,,,,,1015425957,,1015425957,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2,C00,TOTAL CPC,TOTAL MOT,,,,,2300438891,,2300438891,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,C00,TOTAL CPC,TOTAL MOT,,,,,14689189825,,14689189825,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,2,Meat and edible meat offal,2,C00,TOTAL CPC,TOTAL MOT,,,,,6021620606,,6021620606,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,1,Animals; live,2,C00,TOTAL CPC,TOTAL MOT,,,,,2672100430,,2672100430,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,8,"Fruit and nuts, edible; peel of citrus fruit or melons",2,C00,TOTAL CPC,TOTAL MOT,,,,,12472835332,,12472835332,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,9,"Coffee, tea, mate and spices",2,C00,TOTAL CPC,TOTAL MOT,,,,,7186051396,,7186051396,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,10,Cereals,2,C00,TOTAL CPC,TOTAL MOT,,,,,4361816392,,4361816392,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2,C00,TOTAL CPC,TOTAL MOT,,,,,1503378812,,1503378812,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,2,C00,TOTAL CPC,TOTAL MOT,,,,,88187511,,88187511,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2,C00,TOTAL CPC,TOTAL MOT,,,,,6118468497,,6118468497,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,17,Sugars and sugar confectionery,2,C00,TOTAL CPC,TOTAL MOT,,,,,3988815580,,3988815580,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,18,Cocoa and cocoa preparations,2,C00,TOTAL CPC,TOTAL MOT,,,,,4279325190,,4279325190,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",2,C00,TOTAL CPC,TOTAL MOT,,,,,5664324547,,5664324547,0,True
