typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerISO,partnerDesc,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,customsCode,customsDesc,motDesc,qty,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2,C00,TOTAL CPC,TOTAL MOT,,,,,389365179878,,389365179878,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2,C00,TOTAL CPC,TOTAL MOT,,,,,15438101117,,15438101117,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,39,Plastics and articles thereof,2,C00,TOTAL CPC,TOTAL MOT,,,,,46376567213,,46376567213,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,40,Rubber and articles thereof,2,C00,TOTAL CPC,TOTAL MOT,,,,,28699418905,,28699418905,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",2,C00,TOTAL CPC,TOTAL MOT,,,,,16317941090,,16317941090,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,61,Apparel and clothing accessories; knitted or crocheted,2,C00,TOTAL CPC,TOTAL MOT,,,,,44423860186,,44423860186,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,62,Apparel and clothing accessories; not knitted or crocheted,2,C00,TOTAL CPC,TOTAL MOT,,,,,39319973171,,39319973171,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,70,Glass and glassware,2,C00,TOTAL CPC,TOTAL MOT,,,,,6613677895,,6613677895,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,72,Iron and steel,2,C00,TOTAL CPC,TOTAL MOT,,,,,26732092936,,26732092936,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2,C00,TOTAL CPC,TOTAL MOT,,,,,311300329389,,311300329389,0,True
